service,track1,track2,track1 api,track2 api
advisor,beta,beta,2020_01_01,2020_01_01
apimanagement,beta,beta,2019_12_01,2020_12_01
appconfiguration,beta,beta,2020_06_01,2021_03_01
applicationinsights,,beta,,2020_10_20
appplatform,beta,GA,2020_07_01,premium
appservice,GA,GA,2019_08_01,premium
attestation,beta,beta,2020_10_01,2020_10_01
authorization,beta,GA,2018_09_01,premium
automation,beta,beta,2018_06_30,2019_06_01
avs,GA,beta,2020_03_20,2021_06_01
azurearcdata,,beta,,2021_08_01
azurestack,beta,beta,2017_06_01,2020_06_01
azurestackhci,GA,beta,2020_10_01,2020_10_01
baremetalinfrastructure,,beta,,2021_08_09
batch,GA,beta,,2021_06_01
batchai,GA,beta,2018_05_01,2018_05_01
billing,beta,beta,2019_10_01,2020_05_01
botservice,,beta,,2021_05_01
cdn,GA,GA,2020_04_15,premium
changeanalysis,,GA,,2021_04_01
cognitiveservices,GA,beta,2017_04_18,2021_04_01
commerce,beta,beta,2015_06_01,2015_06_01
communication,beta,GA,2020_08_20,2020_08_20
compute,GA,GA,2020_06_01,premium
confluent,,beta,,2021_03_01
consumption,beta,beta,,2019_10_01
containerinstance,GA,GA,2019_12_01,premium
containerregistry,GA,GA,2019_06_01,premium
containerservice,GA,GA,2020_09_01,premium
cosmos,,GA,,premium
costmanagement,beta,beta,2019_11_01,2019_11_01
customerinsights,beta,beta,,2017_04_01
databox,beta,beta,2019_09_01,2021_03_01
databoxedge,beta,beta,2020_05_01,2019_08_01
databricks,,beta,,2021_04_01
datadog,,beta,,2021_03_01
datafactory,beta,beta,2018_06_01,2018_06_01
datalakeanalytics,,beta,,2016_11_01
datalakestore,,beta,,2016_11_01
datamigration,beta,beta,2018_07_15,2018_04_19
delegatednetwork,,beta,,2021_03_15
deploymentmanager,beta,beta,2019_11_01,2019_11_01
deviceprovisioningservices,,GA,,2020_03_01
devspaces,beta,beta,2018_06_01,2019_04_01
devtestlabs,beta,beta,2018_09_15,2018_09_01
digitaltwins,GA,beta,2020_10_31,2020_12_01
dns,GA,GA,2016_04_01,premium
elastic,,beta,,2020_07_01
eventgrid,GA,GA,2020_06_01,2020_06_01
eventhubs,beta,GA,2018_01_01,premium
extendedlocation,,beta,,2021_08_15
frontdoor,,beta,,2020_11_01
hanaonazure,beta,beta,2017_11_03,2017_11_01
hdinsight,GA,beta,2018_06_01,2021_06_01
healthbot,,beta,,2020_12_08
healthcareapis,beta,beta,2020_03_30,2021_01_01
hybridcompute,beta,beta,2020_08_02,2021_03_01
hybridkubernetes,,beta,,2021_10_01
hybridnetwork,,beta,,2021_05_01
imagebuilder,,beta,,2020_02_01
iotcentral,GA,beta,2018_09_01,2021_06_01
iothub,beta,GA,2019_07_01,2021_07_01
keyvault,GA,GA,2019_09_01,premium
kubernetesconfiguration,GA,beta,2019_11_01,2021_03_01
kusto,beta,beta,2020_09_18,2021_01_01
labservices,beta,beta,2018_10_15,2018_10_01
loganalytics,beta,beta,2020_08_01,2020_08_01
logic,beta,beta,2018_07_01,2019_05_01
logz,,beta,,2020_10_01
machinelearningservices,beta,beta,2019_05_01,2021_04_01
maintenance,beta,beta,2018_06_01,2021_05_01
managedapplications,beta,beta,2019_07_01,2018_06_01
maps,,beta,,2021_02_01
mariadb,beta,beta,2020_01_01,2020_01_01
marketplaceordering,beta,beta,2015_06_01,2021_01_01
mediaservices,,GA,,2020_05_01
mixedreality,beta,beta,2020_05_01,2021_01_01
monitor,GA,GA,2019_11_01,premium
msi,GA,GA,,premium
mysql,beta,GA,2017_12_01,2020_01_01
mysqlflexibleserver,,beta,,2021_05_01
netapp,GA,beta,2020_07_01,2021_06_01
network,GA,GA,2020_06_01,premium
notificationhubs,beta,beta,2017_04_01,2017_04_01
operationsmanagement,beta,beta,2015_11_01,2015_11_01
peering,beta,beta,2019_08_01,2021_01_01
policyinsights,beta,beta,2019_10_01,2021_01_01
postgresql,beta,GA,2017_12_01,2020_01_01
postgresqlflexibleserver,,beta,,2021_06_01
powerbidedicated,beta,beta,2017_10_01,2021_01_01
privatedns,beta,GA,2018_09_01,premium
purview,,beta,,2021_07_01
quota,,beta,,2021_03_15
recoveryservices,beta,beta,2016_06_01,2016_06_01
recoveryservicesbackup,,beta,,2021_01_01
redis,GA,GA,2018_03_01,premium
redisenterprise,,GA,,2021_03_01
relay,beta,beta,2017_04_01,2017_04_01
resourcegraph,GA,beta,2019_04_01,2021_03_01
resourcehealth,beta,beta,2017_07_01,2018_07_01
resourcemover,GA,beta,2021_01_01,2021_01_01
resources,GA,GA,2020_06_01,premium
search,GA,GA,2015_02_28,premium
security,,beta,,composite_v3
servicebus,GA,GA,2018_01_01,premium
servicefabric,beta,beta,2018_02_01,2021_06_01
signalr,beta,beta,2020_05_01,2021_06_01
sql,GA,GA,2018_06_01,premium
sqlvirtualmachine,beta,beta,2017_03_01,2017_03_01
storage,GA,GA,2019_06_01,premium
storagecache,beta,beta,2020_03_01,2021_09_01
storageimportexport,beta,beta,2016_11_01,2021_01_01
storagepool,,beta,,2021_08_01
streamanalytics,beta,beta,2020_03_01,2020_03_01
subscription,beta,beta,2020_09_01,2020_09_01
support,GA,beta,2020_04_01,2020_04_01
synapse,GA,beta,2019_06_01,composite_v2
timeseriesinsights,beta,beta,2017_11_15,2020_05_15
trafficmanager,GA,GA,,premium
videoanalyzer,,beta,,2021_11_01
vmwarecloudsimple,beta,beta,2019_04_01,2019_04_01
webpubsub,,beta,,2021_10_01
cosmosdb,GA,,2020_06_01,
datalake-analytics,GA,,,
datalake-store,GA,,,
datalake-store-uploader,beta,,,
dbformariadb,beta,,2018_06_01,
devices,beta,,,
devtestlab,beta,,,
documentdb,GA,,2015_04_08,
eventhub,GA,,2017_04_01,
features,beta,,2015_12_01,
graph-rbac,GA,,,
insights,beta,,2015_05_01,
locks,GA,,2016_09_01,
machinelearning,beta,,,
media,beta,,2020_05_01,
policy,beta,,2019_09_01,
powerbi,beta,,,
samples,beta,,,
scheduler,beta,,,
subscriptions,beta,,2016_06_01,
traffic-manager,beta,,,
utility,beta,,,
website,beta,,,
websites,beta,,,
